name,duration,genre,release_date,directors,stars
Star Wars: Episode IV: A New Hope (Steelbook) (Blu-ray),125 min,Sci-Fi & Fantasy,11/10/2015,George Lucas,"Mark Hamill,Harrison Ford,Carrie Fisher"
Ant-Man (DVD),117 min,Kids & Family,,Peyton Reed,"Abby Fortson, Bobby Cannavale, Judy Greer, Martin Donovan, Michael Douglas, Gregg Turkington, Corey Stoll, Joe Chrest, Evangeline Lilly, John Slattery, Wood Harris, Rod Hallett, Paul Rudd, Hayley Atwell, Tip ""T.I."" Harris, Michael Pe?a, David Dastmalchian, Garrett Morris"
Snow White and the Huntsman (DVD),132,Action & Adventure,09/11/2012,Rupert Sanders,"Chris Hemsworth, Kristen Stewart, Liberty Ross, Sam Claflin, Sam Spruell, Ian McShane, Peter Ferdinando, Charlize Theron"
Beverly Hills Chihuahua 3: Viva La Fiesta! (DVD),89 min,Comedy,09/18/2012,Lev L. Spiro,"Odette Yustman, Erin Cahill, Miguel Ferrer, Sebastian Roche, Frances Fisher, Emily Osment, Odette Annable, Jake Busey, Kyle Gass, George Lopez, Marcus Coloma, Madison Pettis"
The Challenge (DVD),108 min,Action & Adventure,02/16/2016,John Frankenheimer,"Scott Glenn, Toshiro Mifune"
Camelot (Blu-ray),179 min,Musical,07/17/2012,Moss Hart,"David Hemmings, Franco Nero, Richard Harris, Lionel Jeffries, Vanessa Redgrave"
The Prestige (Blu-ray),130 min,Anime & Animation,02/20/2007,Christopher Nolan,"David Bowie, Christian Bale, Michael Caine, Rebecca Hall, Scarlett Johansson, Hugh Jackman, Morgan Sheppard, Robert Arbogast"
George Washington Slept Here (DVD),92 min,Comedy,12/02/2013,William Keighley,"Cliff Saum, Jack Benny, Charles Coburn, Hank Mann, Percy Kilbride, Hattie McDaniel, Douglas Croft, Ann Sheridan, Harvey Stephens"
Mickey's Christmas Carol (30th Anniversary Edition) (Blu-ray + DVD + Digital Copy),26 min,Anime & Animation,11/05/2013,Burny Mattinson,"Clarence Nash, Will Ryan, Alan Young, Wayne Allwine, Patricia Parris"
The Life of David Gale (DVD),131 min,Drama,07/22/2003,Alan Parker,"Constance Jones, Matt Craven, Laura Linney, Kate Winslet, Kevin Spacey, Gabriel Mann, Lee Ritchie"
Elton John: The Million Dollar Piano (DVD),215 mins.,"Documentary, Music & Performance",,,Elton John
MCCARTNEY P-PAUL MCCARTNEY & WINGS-ROCKSHOW (DVD/WITH BOOK) (DVD),139 mins.,Music & Performance,,Robby D.,"Denny Laine, Paul McCartney, Jimmy McCulloch, Linda McCartney, Joe English"
Little Women (DVD),118 min,Drama,04/25/2000,Gillian Armstrong,"John Neville, Claire Danes, Eric Stoltz, Kirsten Dunst, Susan Sarandon, Trini Alvarado, Samantha Mathis, Winona Ryder, Gabriel Byrne"
The Cutting Edge (DVD),102 min,Romance,02/28/2006,Paul Michael Glaser,"Melanie Miller, Nahanni Johnstone, Moira Kelly, Kevin Peeks, Terry O'Quinn, D.B. Sweeney, Steve Sears, John Robinson, Dwier Brown, Roy Dotrice"
R.I.P.D. (Blu-ray + DVD + Digital HD),96 min,Documentary,10/29/2013,Robert Schwentke,"Ryan Reynolds, Kortney Adams, Stephanie Szostak, Tobias Segal, Kevin Bacon, Joe Stapleton, Mary-Louise Parker, Jeff Bridges"
Underworld: Blood Wars (Blu-ray),91 min,"Sci-Fi & Fantasy, Action & Adventure",,Anna Foerster,"Kate Beckinsale, Tobias Menzies, Theo James"
Tyler Perry's The Single Moms Club (DVD + Digital),111 min,Comedy,07/22/2014,Tyler Perry,"William E. Jackson Ii, Nia Long, Cranston Johnson, Zulay Henao, Cocoa Brown, Amy Smart, Wendi McLendon-Covey, Kendra C Johnson, Dan Chandler, Vanessa Velasco"
The Wizard of Oz (Blu-ray),101 min,Kids & Family,10/01/2013,Victor Fleming,"The Singer Midgets, Bert Lahr, John T. Bambury, Josefine Balluck, Mitchell Lewis, Judy Garland, Billie Burke, Lady Ethel, Viola Banks, Frank Morgan, Clara Blandick, Jack Haley, Ray Bolger, Prince Denis, Lois January, Gladys W. Allison, Margaret Hamilton, Charley Grapewin, Pat Walshe"
Jurassic World: Fallen Kingdom (Blu-ray + DVD + Digital),129 min,Action & Adventure,,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda, James Cromwell, Toby Jones, Ted Levine, BD Wong, Isabella Sermon, Geraldine Chaplin, Jeff Goldblum"
Buster Keaton: Volume 1 (DVD),134 min,Comedy,02/28/2012,,Buster Keaton
Deep Blue Sea 2 (Blu-ray + DVD + Digital),72 min,Horror,,Darin Scott,"Michael Beach, Danielle Savre, Rob Mayes"
Casino (DVD),179 min,Drama,01/17/2006,Martin Scorsese,"John Bloom, Robert De Niro, James Woods, Joe Pesci, L. Q. Jones, Don Rickles, Alan King, Sharon Stone"
Barbie: The Princess & The Popstar (DVD),76 min,Anime & Animation,09/11/2012,Zeke Norton,"Ashleigh Ball, Kelly Sheridan"
Air Bud: Spikes Back / Air Bud: Seventh Inning Fetch (DVD),181 min,"Kids & Family, Comedy, Anime & Animation",09/14/2008,Robert Vince,"Richard Karn, Molly Hagan, Jay Brazeau, Caitlin Wachs, Kevin Zegers, Frank C. Turner, Jeff Ballard, Jason Bryden, Patrick Cranshaw, Cynthia Stevenson, James Crescenzo"
Mission: Impossible 6 Movie Collection (Blu-ray),768 min,Action & Adventure,,Christopher McQuarrie,Tom Cruise
Shark Attack Pack (Triple Feature) (DVD),260,Horror,05/20/2014,,
Super Mario Bros. (DVD),104 min,Comedy,06/03/2003,Annabel Jankel,"Andrea Powell, Fisher Stevens, Bob Hoskins, Samantha Mathis, Francesca P. Roberts, Dennis Hopper, John Leguizamo"
Grumpy Old Men Collection (Blu-ray),204 min,Comedy,02/23/2010,"Donald Petrie, Howard Deutch","Sophia Loren, Kevin Pollak, Burgess Meredith, Ann-Margret, Jack Lemmon, Walter Matthau, Ossie Davis, Daryl Hannah"
How To Lose A Guy In 10 Days (DVD),115 MINUTE,Comedy,01/01/2013,Donald Petrie,"Matthew McConaughey, Kate Hudson, Michael Michele, Shalom Harlow, James Murtaugh, Adam Goldberg"
The Maisie Collection: Volume 1 (DVD),402 min,Comedy,06/14/2012,Henry C. Potter,"Eddie Simms, Robert Young, Joe Yule, George Tobias, Billy Curtis, Ernest Whitman, Martin Wilkins, Maureen O'Sullivan, Edgar Dearing, Harlan Briggs, Leonard Mudie, Roy Lester, John Carroll, Charles D. Brown, Lionel Pape, Rita Johnson, Maxie Rosenbloom, Margaret Moffat, Richard Carle, Cliff Edwards, Ian Hunter, Jack LaRue, John Bambury, George Murphy, Nathan Curry, Natalie Thompson, Robert Sterling, Joseph Crehan, Art Mix, Everett Brown, Lew Ayres, C. Aubrey Smith, Henry Blair, Tim Ryan, Jonathan Hale, Shepperd Strudwick, John Indrisano, Oscar O'Shea, Anthony Allan, Paul Cavanagh, Tom Fadden, Willie Fung, Ann Sothern, Tom Farrell, Frank Puglia, Purnell Pratt, Joan Perry, William Wright, Virginia O'Brien, Edward Ashley, Darby Jones, Paul Everton, Ruth Hussey, Minor Watson, ""Rags"" Ragland, J. M. Kerrigan, E. E. Clive"
Alan Jackson: Keeping It Country Live At Red Rocks (DVD),106 mins.,Music & Performance,,,
North and South: The Complete Collection (DVD),1212,dvd - SERIES,01/25/2011,Clint Eastwood,David Carradine
Sucker Punch (Other),,,06/28/2011,,
Grumpy Cat's Worst Christmas Ever (DVD),90,Comedy,12/16/2014,Tim Hill,Aubrey Plaza
Little Men (DVD),72 min,Drama,06/30/2009,Phil Rosen,"Junior Durkin, Ralph Morgan, Phyllis Fraser"
Batman: Return of the Caped Crusaders (DVD),72 min,Comedy,11/01/2016,,"Burt Ward, Julie Newmar, Adam West"
This Means War / 27 Dresses / What's Your Number / Bride Wars (DVD),,Comedy,09/05/2014,,"Kate Hudson, Anne Hathaway, Reese Witherspoon, Tom Hardy, Chris Evans, Anna Faris"
E.T. The Extra-Terrestrial (Blu-ray + DVD + Digital HD),115 min,Sci-Fi & Fantasy,,Steven Spielberg,"Robert MacNaughton, Drew Barrymore, Dee Wallace, Peter Coyote, Henry Thomas"
DREAM THEATER-LIVE AT LUNA PARK (2DVD/3CD COMBO) (DVD),231 mins.,Music & Performance,,,Dream Theater
Invasion! (DVD),92 min,"Sci-Fi & Fantasy, Drama, Comedy",04/22/2010,John Paizs,"Tom Everett Scott, Hardee Lineham, Bernard Behrens, Lorry Ayers, Fiona Loewi, Campbell Scott, Steve Lucescu, Maggie Butterfield, James Allodi, Kathryn Kirkpatrick, Hardee T. Lineham"
Unikitty: Season 1 - Part 1 (DVD),224 min,Anime & Animation,,,"Tara Strong, Eric Bauza, Roger Craig Smith"
Vince Vaughn 4-Movie Spotlight Series (DVD),437,Romance,10/08/2013,,"Vince Vaughn, Jennifer Aniston, Joaquin Phoenix, Janeane Garofalo, Jason Bateman, Kevin James, Jennifer Connelly"
The Lost World: Jurassic Park (DVD),129 mins.,Action & Adventure,,Steven Spielberg,"Vanessa Lee Chester, Richard Attenborough, Julianne Moore, Vince Vaughn, Pete Postlethwaite, Arliss Howard, Jeff Goldblum"
Baby Mama (Blu-ray),99 min,Comedy,09/09/2008,Michael McCullers,"Ian Colletti, Kathy Searle, Dax Shepard, Greg Kinnear, Jay Phillips, Amy Poehler, Romany Malco, Siobhan Fallon, Jon Glaser, Tina Fey"
Happy Go Lovely (DVD),88 mins.,"Romance, Comedy, Music & Performance",04/16/2002,H. Bruce Humberstone,"Bobby Howes, Vera-Ellen, David Niven, Diane Hart, Cesar Romero"
Brewster's Millions (DVD),102,Comedy,08/22/2006,Walter Hill,"Barbara Siebert, Destiny Borden, Stephen Vaughan, Richard Pryor, Joey Banks, Stephen Collins, Elaine K. Thompson, Kathleen Bennett, John Vallone, Baird Steptoe, Lonette McKee, Brian Callahan, Timothy Brennan, Jerry Orbach, Marilyn Vance, Joel Silver, John Candy, Edmund Villa, John J. Stephens, Donah Bassett, Ronnie D. Chambers, Dick Colean, Ric Waite"
Crossing Delancey DVD,97.00 min,Romance,,Joan Micklin Silver,Amy Irving;Reizl Bozyk;Peter Riegert;Jeroen KrabbA(c);Sylvia Miles;Suzzy Roche;George Martin;John Bedford Lloyd;Claudia Silver;David Hyde Pierce;Rosemary Harris;Amy Wright;Faye Grant;Deborah Offner;Kathleen Wilhoite;Miriam Phillips
Frankenstein (DVD),177,Drama,02/16/2016,Kevin Connor,"William Hurt, Luke Goss, Alec Newman, Julie Delpy, Nicole Lewis, Donald Sutherland"
Congo (Blu-ray),108 min,"Sci-Fi & Fantasy, Drama",,Frank Marshall,"Laura Linney , Tim Curry , Ernie Hudson , Dylan Walsh"
"What's New, Pussycat? (DVD)",108 min,Comedy,08/26/2014,Clive Donner,"Jean Par?d?s, Eléonore Hirt, Paula Prentiss, Peter Sellers, Romy Schneider, El?onore Hirt, Capucine, Peter O'Toole, Jean Parédès"
Laurel and Hardy: Best of (DVD),84 min,Comedy,07/03/2007,Frank Terry,"Pearl Elmore, Stan Laurel"
Bruno (Blu-ray),82 min,Comedy,11/17/2009,Larry Charles,"Chigozie Orukwowu, Harrison Ford, Gilbert Rosales, Chibundu Orukwowu, Josh Meyers, Robert Huerta, Bono, Thomas Rosales Jr., Clifford Banagale, LaToya Jackson, Paula Abdul, Gustaf Hammarsten, Toby Hoguin, Sacha Baron Cohen"
A Global Affair (DVD),84 min,Drama,,Jack Arnold,"Miiko Taka, Hugh Downs, Bob Hope, John McGiver, Robert Sterling, Yvonne De Carlo, Rafer Johnson, Mickey Shaughnessy, Elga Andersen, Jacques Bergerac, Nehemiah Persoff, Michele Mercier"
Mickey and The Roadster Racers: Start Your Engines,88 min,"Action & Adventure, Anime & Animation",,,"Jay Leno, Jimmie Johnson, April Winchell, Tim Gunn, Natalie Coughlin, Carlos Alazraqui"
The Outlaw (DVD),123 min,"Western, Romance, Comedy",11/13/2000,Howard R. Hughes,"Jack Buetel, Walter Huston, Mimi Aguglia, Jane Russell, Thomas Mitchell"
Here Comes Cookie (DVD),66 min,Comedy,,Norman Z. McLeod,"George Burns, Gracie Allen"
Nashville Homecoming (DVD),110 mins.,Music & Performance,,Doug Stuckey,"Gloria Gaither, Bill Gaither"
Hunter S. Thompson'S Where The Buffalo Roam Movie Poster Murray Comedy 24X36,,,,,
"The Adventures Of Ma & Pa Kettle, Vol. 1 (Full Frame)",345,Comedy,02/10/2004,"Chester Erskine, Edward Sedgwick, Charles Lamont","Marjorie Main, Percy Kilbride"
Lady and the Tramp (The Walt Disney Signature Collection) (Blu-ray + DVD + Digital),76 min,Anime & Animation,,"Hamilton Luske, Clyde Geronimi, Wilfred Jackson","Verna Felton, Lee Millar Jim, Peggy Lee, Larry Roberts, Stan Freberg, Barbara Luddy, George Givot, Bill Baucom, Bill Thompson"
Home On The Range (Blu-ray + DVD),95 min,Anime & Animation,07/03/2012,Will Finn,"Marshall Efron, Roseanne Barr, Cuba Gooding Jr., Randy Quaid, Sam Levine, Lance LeGault, Lance Le Gault, Bobby Block, Judi Dench, Roseanne, Jennifer Tilly"
Stranded in Paradise (DVD),,,06/07/2016,,
Prisoners (DVD),153,Drama,12/17/2013,Denis Villeneuve,"Robert Treveiler, Viola Davis, Michelle Keller, Jeff Pope, Maria Bello, Paul Dano, Jake Gyllenhaal, Sandra Lafferty, Melissa Leo, Hugh Jackman, J Omar Castro"
DATE NIGHT COLLECTION (DVD/2DISCS/WS/5.1/DS/1.85) (DVD),433,Romance,09/03/2013,Martin Ritt,"Bruce French, Brian Kerwin, Charles Lane, Dortha Duckworth, Georgann Johnson, Dennis Burkley, Michael Crabtree, Anna Thomson, Billy Ray Sharkey, Sally Field, James Garner, Michael Prokopuk, John C. Becher, Henry Slate, Corey Haim"
The Salvation (Blu-ray),92 min,Drama,08/04/2015,Kristian Levring,"Eva Green, Jeffrey Dean Morgan"
Elvira's Movie Macabre: Bloody Madness (DVD),335 min,Horror,09/18/2012,,Elvira
The Bucket List (DVD),97 min,Action & Adventure,06/10/2008,Rob Reiner,"Jordan Lund, Nikki Novak, Sean Hayes, Beverly Todd, Richard McGonagle, Serena Reeder, Christopher J. Stapleton, Jack Nicholson, Morgan Freeman, Roy Vongtama, Alfonso Freeman, Jonathan Mangum, Taylor Ann Thompson"
Legally Blonde 1 & 2 (DVD),188,Drama,10/07/2014,Robert Luketic,"Toshihiko Seki, Goro Naya, Arisa Ando"
Austin & Ally: Chasing the Beat (DVD),132 min,Comedy,08/26/2014,,"Calum Worthy, Ross Lynch, Raini Rodriguez, Laura Marano"
MEGAMIND,96 min,Comedy,,Tom McGrath,"Jonah Hill, Brad Pitt, David Cross, Tina Fey, Will Ferrell"
Storks (DVD),89,Comedy,12/20/2016,"Doug Sweetland, Nicholas Stoller","Jennifer Aniston, Ty Burrell, Kelsey Grammer, Danny Trejo, Jordan Peele, Keegan-Michael Key, Andy Samberg"
Pete's Dragon (35th Anniversary Edition) (DVD + Blu-ray),88 min,"Anime & Animation, Action & Adventure",10/02/2012,Don Chaffey,"Jim Dale, Shelley Winters, Helen Reddy, Mickey Rooney, Red Buttons, Cal Bartlett"
Scarface (Blu-ray),170 min,Action & Adventure,10/11/2011,Brian De P,"Arnaldo Santana, Al Pacino, Steven Bauer, Robert Loggia, Michelle Pfeiffer, Mary Elizabeth Mastrantonio"
21 Jump Street / 22 Jump Street (Blu-ray),,Action & Adventure,,Phil Lord,"Jonah Hill, Rodney Rothman, Michael Bacall"
Barbie in a Mermaid Tale 2 (DVD),74,Kids & Family,02/09/2016,William Lau,"Kelly Sheridan, Ashleigh Ball, Kathleen Barr"
Still Alice (DVD),90 min,Drama,05/12/2015,Richard Glatzer,"Kristen Stewart, Alec Baldwin, Julianne Moore, Hunter Parrish, Kate Bosworth"
Cold Pursuit (4K Ultra HD + Blu-ray),119 min,Action & Adventure,,Hans Petter Moland,"Liam Neeson, Laura Dern"
Cowboys & Aliens (DVD),119 min,Action & Adventure,12/06/2011,Jon Favreau,"Harrison Ford, Sam Rockwell, Keith Carradine, Paul Dano, Walton Goggins, Robert Downey, Jr., Olivia Wilde, Daniel Craig"
Teen Beach Movie 2 (DVD),110 min,"Kids & Family, Anime & Animation",06/26/2015,Jeffrey Hornaday,"Maia Mitchell, Ross Lynch, Grace Phipps"
CELTIC WOMAN-EMERALD-MUSICAL GEMS-LIVE IN CONCERT (BLU-RAY) (Blu-ray),90 mins.,Music & Performance,,,
Raffi: Raffi in Concert (DVD),155,Music & Performance,01/01/1980,David Devine,"Mitchell Lewis, Nancy Walker, Dennis Pendrith, Bucky Berger, Raffi"
Rise of the Guardians (DVD),97,"Kids & Family, Anime & Animation",11/05/2013,Peter A. Ramsey,"Alec Baldwin, Chris Pine, Isla Fisher, Jude Law, Hugh Jackman, Dakota Goyo"
The Ugly American / The Night Of The Following Day (Widescreen),215,Drama,12/01/2013,,"Marlon Brando, Eija Okada, Sandra Church, Pat Hingle, Richard Boone, Pamela Franklin"
The Riverside Murder (DVD),100 mins.,"Drama, Mystery & Suspense",12/10/2013,Albert Parker,"Reginald Tate, Basil Sydney, Alastair Sim, Zoe Davis, Judy Gunn"
Death Wish (DVD),93 min,"Drama, Action & Adventure",,Michael Winner,"Herbie Hancock, Brian Garfield, Charles Bronson, Hope Lange, Lawrence Hilton-Jacobs, Joseph G. Aulisi, Vincent Gardenia, John C. Becher, Steven Keats, Bernard Gribble, William Redfield"
The Huntsman: Winter's War (Blu-ray + DVD + Digital Copy),114 mins.,"Drama, Action & Adventure",12/31/2016,,"Chris Hemsworth, Jessica Chastain, Charlize Theron"
The Simpsons Movie (DVD),87 min,"Comedy, Action & Adventure, Anime & Animation",12/18/2007,David Silverman,"Tom Hanks, Nancy Cartwright, Maggie Roswell, Yeardley Smith, Philip Rosenthal, Julie Kavner, Karl Weidergott, Dan Castellaneta"
BIG LEBOWSKI (LIMITED EDITION),119,Comedy,08/16/2011,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, Philip Seymour Hoffman, John Turturro"
Andrew Lloyd Webber's Love Never Dies (DVD),121 min,Musical,05/29/2012,Brett Sullivan,"Maria Mercedes, Simon Gleeson, Benjamin Lewis, Anna O'Byrne, Sharon Millerchip, Bob Lewis"
A Home Of Our Own (DVD),105 min,Kids & Family,06/21/2016,Tony Bill,"Edward Furlong, Kathy Bates"
American Mall (DVD),100,"Kids & Family, Romance, Comedy, Music & Performance",08/12/2008,Shawn Ku,"Yassmin Alers, Al Sapienza, Autumn Reeser, Nina Dobrev, Rob Mayes"
Daniel Tiger's Neighborhood: Daniel's Winter Wonderland (DVD),60 min,"Animation & Cartoons, Kids & Family, Anime & Animation",,,"Jake Beale, Heather Bambrick, Ted Dykstra"
Into the Storm (Blu-ray + DVD),89 min,Action & Adventure,12/31/2014,Steven Quale,"Sarah Wayne Callies, Matt Walsh, Richard Armitage, Nathan Kress"
The BFG (Blu-ray + DVD + Digital HD),118 min,"Kids & Family, Action & Adventure, Anime & Animation",12/06/2016,Steven Spielberg,"Mark Rylance, Penelope Wilton"
"Munster, Go Home / The Munsters' Revenge / The Munsters: Family Portrait (DVD)",245 mins.,Comedy,10/11/2016,,
Forrest Gump (Blu-ray),142 mins.,Comedy,,Robert Zemeckis,"Tom Hanks, Sally Field, Robin Wright"
4 Movie Marathon: Teen Comedy Collection (DVD),367,Comedy,03/22/2011,Andrew Fleming,"Janeane Garofalo, Ross Patterson, Lewis Black, Robin Lord Taylor, Anthony Heald, Blake Lively, Travis Van Winkle, Diora Baird, Jonah Hill, Mark Derwin, Ann Cusack, Justin Long, Maria Thayer, Julie Benz, Kellan Lutz, Columbus Short, Adam Herschman, Steve Coogan"
The Sherlock Holmes Collection: Volume 1 (DVD),270,Drama,10/28/2003,Roy William Neill,"Kaaren Verne, William Post Jr., Lionel Atwill, Nigel Bruce, Basil Rathbone"
Titanic (Blu-ray),194 min,Drama,09/10/2012,Steven Quale,"Leonardo DiCaprio, Dr. Anatoly M Sagalevitch, Nicholas Cascone, Billy Zane, Frances Fisher, Kate Winslet, Lewis Abernathy, Kathy Bates"
The Good Karma Hospital: Series 1 (Blu-ray),287 min,Television,,,Amanda Redman
The Mel Brooks Collection (Blu-ray),969 min,Comedy,10/09/2012,Mel Brooks,"John Hillerman, Alex Karras, Mel Brooks, Dom DeLuise, Liam Dunn, Slim Pickens, Harvey Korman, Cleavon Little, David Huddleston, Madeline Kahn, George Furth, Gene Wilder"
JOEY + RORY-JOEY + RORY INSPIRED (DVD) (DVD),,Music,,,"Joey + Rory, Bill Gaither"
Pitch Perfect Trilogy (Blu-ray + Digital),320 mins.,Comedy,,Elizabeth Banks,"Skylar Astin, Hailee Steinfeld, Anna Camp, Anna Kendrick, Rebel Wilson, Elizabeth Banks, Ben Platt, John Michael Higgins, Brittany Snow"
The Last Starfighter (Blu-ray),101 min,"Drama, Action & Adventure",08/18/2009,"Nick Castle, Jr.","Catherine Mary Stewart, Dan O'Herlihy, Robert Preston, Lance Guest, Catherine Stewart, Chris Hebert, Barbara Bosson"
Wild Hogs (Blu-ray),100 min,"Action & Adventure, Anime & Animation",08/14/2007,Walt Becker,"Ray Liotta, William H. Macy, Martin Lawrence, MC Gainey, Tim Allen, John Travolta"
Cabin Fever / Cabin Fever 2 / Descent / Descent 2 (DVD),372,Comedy,01/04/2011,,"Rider Strong, Jordan Ladd, James DeBello, Cerina Vincent, Michael Bowen, Giuseppe Andrews, Shauna MacDonald, Natalie Mendoza"
Words and Pictures (Blu-ray),111 min,Romance,09/09/2014,Fred Schepisi,"Josh Ssettuba, Christian Scheider, Amy Brennerman, Clive Owen, Navid Negahban, Chin Ka Lok, Bruce Davison, Adam Dimarco, Lam Ching-Ying, Juliette Binoche"
The Great Wall (Blu-ray),103 mins.,"Drama, Action & Adventure","May 23, 2017",,Willem Dafoe
Tyler Perry: The Plays (DVD),933 min,Comedy,12/04/2007,Tyler Perry,Tyler Perry
South Pacific (Blu-ray),157,Romance,10/07/2014,Joshua Logan,"Tom Laughlin, John Kerr, Mitzi Gaynor, Ray Walston, Jack Mullaney, Russ Brown, France Nuyen, Ken Clark, Rossano Brazzi, Juanita Hall"
Flirtation Walk (DVD),97 min,Drama,07/17/2009,Frank Borzage,"Cliff Saum, Ruby Keeler, Dick Powell, Guinn Williams, Ross Alexander, John Arledge, Pat O'Brien, Glen Boles, Paul Fix, John Eldredge"
Hidalgo (DVD),136 min,"Anime & Animation, Action & Adventure",08/03/2004,Joe Johnston,"J. K. Simmons, Peter Mensah, Viggo Mortensen, Floyd Westerman, Omar Sharif, Saïd Taghmaoui, Louise Lombard, Malcolm McDowell"
"Charlie Chan Collection, Vol. 1",373 min,Drama,06/20/2006,Eugene Forde,"Warner Oland, Drue Leyton, Douglas Walton, Alan Mowbray, Mona Barrie, Ray Milland"
Madea's Family Reunion: The Play (DVD),120 min,Comedy,06/28/2005,Tyler Perry,"David Mann, Tyler Perry, D'Atra Hicks, Tamela Mann"
Family Favorites: 10-Movie Collection (DVD),941,"Kids & Family, Horror",02/06/2013,Joe Dante,"Steve Martin, Fred Savage, Burt Reynolds, John Goodman, Henry Thomas"
Mickey Mouse Clubhouse: Choo-Choo Express (DVD),50 min,"Kids & Family, Anime & Animation",12/01/2009,"Rob LaDuca, Howy Parkins","Bill Farmer, Tony Anselmo, Russi Taylor, Wayne Allwine, Tress MacNeille"
